time_ns,frame,event
9808951064,1,0
9808964600,1,1
9819351612,2,0
9829202545,3,0
9839180361,4,0
9848965756,5,0
9858903827,6,0
9868815274,7,0
9869980427,1,2
9870000299,2,1
9870017836,1,3
9873560111,1,4
9878508506,8,0
9883205054,2,2
9883224799,3,1
9883244191,2,3
9886658975,2,4
9888571317,9,0
9896248685,3,2
9896296462,3,3
9898162818,10,0
9898177827,4,1
9899688013,3,4
9908419459,11,0
9911368501,4,2
9911385270,5,1
9911396246,4,3
9915013020,4,4
9918065874,12,0
9924480966,5,2
9924496166,6,1
9924504807,5,3
9927760802,13,0
9927896422,5,4
9937456338,6,2
9937491027,6,3
9937865374,14,0
9937879646,7,1
9940847058,6,4
9947505037,15,0
9951976042,7,2
9951993771,8,1
9952002603,7,3
9957118875,16,0
9959146868,7,4
9964801331,8,2
9964832468,8,3
9967237975,17,0
9967252056,9,1
9969908066,8,4
9977000138,18,0
9980355016,9,2
9980371176,10,1
9980417514,9,3
9983804553,9,4
9986702298,19,0
9993275827,10,2
9993297107,11,1
9993304020,10,3
9996432108,20,0
9999113079,10,4
10006343874,11,2
10006374819,11,3
10006520103,21,0
10007101111,12,1
10009776194,11,4
10015573637,22,0
10020383308,12,2
10020401069,13,1
10020412365,12,3
10023855342,12,4
10025235189,23,0
10033352953,13,2
10033377082,14,1
10033384506,13,3
10036046437,24,0
10036831323,13,4
10046080638,14,2
10046099711,15,1
10046107359,14,3
10048737193,25,0
10049471646,14,4
10059150510,15,2
10059166894,16,1
10059169678,15,3
10061765399,26,0
10062562510,15,4
10071946101,16,2
10071964630,17,1
10071971606,16,3
10075325908,16,4
10075625789,27,0
10084893633,17,2
10084915874,18,1
10084920482,17,3
10087531499,28,0
10088325985,17,4
10097594854,18,2
10097614502,19,1
10097620647,18,3
10100252433,29,0
10101012422,18,4
10110588691,19,2
10110605139,20,1
10110606291,19,3
10113194716,30,0
10113935217,19,4
10123310072,20,2
10123328665,21,1
10123333497,20,3
10125947875,31,0
10126728152,20,4
10136318150,21,2
10136336486,22,1
10136341735,21,3
10138960880,32,0
10139728774,21,4
10149106477,22,2
10149124078,23,1
10149130382,22,3
10152483244,22,4
10153695470,33,0
10162045433,23,2
10162066873,24,1
10162071193,23,3
10164762053,34,0
10165431960,23,4
10174790975,24,2
10174806975,25,1
10174811391,24,3
10177441417,35,0
10178163326,24,4
10187701258,25,2
10187720906,26,1
10187726794,25,3
10190350484,36,0
10191119146,25,4
10200492113,26,2
10200508081,27,1
10200515954,26,3
10203153468,37,0
10203879312,26,4
10213501407,27,2
10213522751,28,1
10213528831,27,3
10216131176,38,0
10216893054,27,4
10226475083,28,2
10226492172,29,1
10226498028,28,3
10229077076,39,0
10229837386,28,4
10239645149,29,2
10239665822,30,1
10239680126,29,3
10242288775,40,0
10243093342,29,4
10252428868,30,2
10252445925,31,1
10252451909,30,3
10255101935,41,0
10255842948,30,4
10265330767,31,2
10265352079,32,1
10265357520,31,3
10267974617,42,0
10268754159,31,4
10285838607,32,2
10285854255,33,1
10285858384,32,3
10288529115,43,0
10289253167,32,4
10306574870,33,2
10306587702,34,1
10306591350,33,3
10309230336,44,0
10309945748,33,4
10327217658,34,2
10327233530,35,1
10327237178,34,3
10329835875,45,0
10330670139,34,4
10348047747,35,2
10348063395,36,1
10348065091,35,3
10350815665,46,0
10351483075,35,4
10368609317,36,2
10368625573,37,1
10368630085,36,3
10371239598,47,0
10372028357,36,4
10389472111,37,2
10389486351,38,1
10389488303,37,3
10392077784,48,0
10392940208,37,4
10409934510,38,2
10409949838,39,1
10409952462,38,3
10412557079,49,0
10413364526,38,4
10430697685,39,2
10430710613,40,1
10430718486,39,3
10433291806,50,0
10434123861,39,4
10451391450,40,2
10451406587,41,1
10451411483,40,3
10453989828,51,0
10454863932,40,4
10472308166,41,2
10472323175,42,1
10472325863,41,3
10474910735,52,0
10475759975,41,4
10492739716,42,2
10492756997,43,1
10492770949,42,3
10495480209,53,0
10496194565,42,4
10513603950,43,2
10513620239,44,1
10513629615,43,3
10516240889,54,0
10517046127,43,4
10534105967,44,2
10534121647,45,1
10534127791,44,3
10536763065,55,0
10537536015,44,4
10554943160,45,2
10554956376,46,1
10554960408,45,3
10557534529,56,0
10558438554,45,4
10575627581,46,2
10575642750,47,1
10575647806,46,3
10578234822,57,0
10579089886,46,4
10596325955,47,2
10596340899,48,1
10596343715,47,3
10598929612,58,0
10599764803,47,4
10616696255,48,2
10616712928,49,1
10616715424,48,3
10619333065,59,0
10620147296,48,4
10637420357,49,2
10637434502,50,1
10637437606,49,3
10639567330,60,0
10642169323,49,4
10657973927,50,2
10657989479,51,1
10657993799,50,3
10660604337,61,0
10661435656,50,4
10678875826,51,2
10678889426,52,1
10678893619,51,3
10681478619,62,0
10682360404,51,4
10699554615,52,2
10699569784,53,1
10699574488,52,3
10702154304,63,0
10703036985,52,4
10720282558,53,2
10720296318,54,1
10720300542,53,3
10722917352,64,0
10723739359,53,4
10740698459,54,2
10740713980,55,1
10740717948,54,3
10743339173,65,0
10744160860,54,4
10761533637,55,2
10761548997,56,1
10761552133,55,3
10764138606,66,0
10765002182,55,4
10782082022,56,2
10782098214,57,1
10782103430,56,3
10784711216,67,0
10785682507,56,4
10802994609,57,2
10803007506,58,1
10803011922,57,3
10805586650,68,0
10806517844,57,4
10823524178,58,2
10823539155,59,1
10823543379,58,3
10826126075,69,0
10826996660,58,4
10844220312,59,2
10844236536,60,1
10844238328,59,3
10846845474,70,0
10847704730,59,4
10864709431,60,2
10864725656,61,1
10864730904,60,3
10868159512,60,4
10869524543,71,0
10885595010,61,2
10885611811,62,1
10885613923,61,3
10888214252,72,0
10889090084,61,4
10905906685,62,2
10905923677,63,1
10905925790,62,3
10908530791,73,0
10909423104,62,4
10926775559,63,2
10926790440,64,1
10926794408,63,3
10929378736,74,0
10930239913,63,4
10947388555,64,2
10947405291,65,1
10947411627,64,3
10949994004,75,0
10950880525,64,4
10968081104,65,2
10968096400,66,1
10968097776,65,3
10970687769,76,0
10971523953,65,4
10988638513,66,2
10988655378,67,1
10988658130,66,3
10991269083,77,0
10992098579,66,4
11009450938,67,2
11009467195,68,1
11009469275,67,3
11012085892,78,0
11016096885,67,4
11029988123,68,2
11030004476,69,1
11030009276,68,3
11032607973,79,0
11033522271,68,4
11050748131,69,2
11050761635,70,1
11050765379,69,3
11053338251,80,0
11054185891,69,4
11071379078,70,2
11071394695,71,1
11071396935,70,3
11073980463,81,0
11074849800,70,4
11092266801,71,2
11092283122,72,1
11092284050,71,3
11094945500,82,0
11095718418,71,4
11112748497,72,2
11112765745,73,1
11112768529,72,3
11115390619,83,0
11116187857,72,4
11133586234,73,2
11133601979,74,1
11133603515,73,3
11136217988,84,0
11137069660,73,4
11154075674,74,2
11154092538,75,1
11154093498,74,3
11156712132,85,0
11157506010,74,4
11174927364,75,2
11174941732,76,1
11174943140,75,3
11177518636,86,0
11178405221,75,4
11195627465,76,2
11195642698,77,1
11195645162,76,3
11198238387,87,0
11199105227,76,4
11216312750,77,2
11216327247,78,1
11216328911,77,3
11218919160,88,0
11219786000,77,4
11236749709,78,2
11236765965,79,1
11236768269,78,3
11239394967,89,0
11240234831,78,4
11257499412,79,2
11257515540,80,1
11257519796,79,3
11260109629,90,0
11260978293,79,4
11277875632,80,2
11277892113,81,1
11277894865,80,3
11280525275,91,0
11281399507,80,4
11298674425,81,2
11298687897,82,1
11298693145,81,3
11301334915,92,0
11302131418,81,4
11319279643,82,2
11319294748,83,1
11319295868,82,3
11321915910,93,0
11322799230,82,4
11340175143,83,2
11340191719,84,1
11340196167,83,3
11342836369,94,0
11343668265,83,4
11360598884,84,2
11360614949,85,1
11360618085,84,3
11363252687,95,0
11364088678,84,4
11381353420,85,2
11381369356,86,1
11381371724,85,3
11383960981,96,0
11384846062,85,4
11401731272,86,2
11401747721,87,1
11401750761,86,3
11404352146,97,0
11405180393,86,4
11422614547,87,2
11422628563,88,1
11422632915,87,3
11425201308,98,0
11426149558,87,4
11443177141,88,2
11443193141,89,1
11443198101,88,3
11445770205,99,0
11446658326,88,4
11463724438,89,2
11463740118,90,1
11463742166,89,3
11466335455,100,0
11467206040,89,4
11484333241,90,2
11484349017,91,1
11484352954,90,3
11486999236,101,0
11487805851,90,4
11505140866,91,2
11505158754,92,1
11505171010,91,3
11508190679,102,0
11508658660,91,4
11525874600,92,2
11525891465,93,1
11525901961,92,3
11528502194,103,0
11529455277,92,4
11546612719,93,2
11546626863,94,1
11546629999,93,3
11549202968,104,0
11550093265,93,4
11567275155,94,2
11567291764,95,1
11567297300,94,3
11569881661,105,0
11570799574,94,4
11588004666,95,2
11588021626,96,1
11588023130,95,3
11590626307,106,0
11591546269,95,4
11608481465,96,2
11608498586,97,1
11608501914,96,3
11611134980,107,0
11612004988,96,4
11629076828,97,2
11629091996,98,1
11629094236,97,3
11631577954,108,0
11636154307,97,4
11649574108,98,2
11649590044,99,1
11649591164,98,3
11652202118,109,0
11653086046,98,4
11670174559,99,2
11670190847,100,1
11670192159,99,3
11672778312,110,0
11673661088,99,4
11690966919,100,2
11690981831,101,1
11690986823,100,3
11693559248,111,0
11694461065,100,4
11711677005,101,2
11711692109,102,1
11711694669,101,3
11714283862,112,0
11715288626,101,4
11732097162,102,2
11732111531,103,1
11732117291,102,3
11734766421,113,0
11735652110,102,4
11752753839,103,2
11752770031,104,1
11752771759,103,3
11755486428,114,0
11756265137,103,4
11773410643,104,2
11773426324,105,1
11773431284,104,3
11776119647,115,0
11776910293,104,4
11794306398,105,2
11794319295,106,1
11794323487,105,3
11796902023,116,0
11797749599,105,4
11815011044,106,2
11815025828,107,1
11815031877,106,3
11817608941,117,0
11818578760,106,4
11835857806,107,2
11835874158,108,1
11835875502,107,3
11838468951,118,0
11839372880,107,4
11856305004,108,2
11856320141,109,1
11856324045,108,3
11858956375,119,0
11859827023,108,4
11877061203,109,2
11877075508,110,1
11877078548,109,3
11879678589,120,0
11880543253,109,4
11897532947,110,2
11897548915,111,1
11897551955,110,3
11900175645,121,0
11901027701,110,4
11918400669,111,2
11918415389,112,1
11918418397,111,3
11921000646,122,0
11921904127,111,4
11939268231,112,2
11939284072,113,1
11939286888,112,3
11941874704,123,0
11942797226,112,4
11959985229,113,2
11960000654,114,1
11960001966,113,3
11962594583,124,0
11963489072,113,4
11980478029,114,2
11980494030,115,1
11980496974,114,3
11983187289,125,0
11983954319,114,4
12001065200,115,2
12001081680,116,1
12001083408,115,3
12003677049,126,0
12004514224,115,4
12021483885,116,2
12021500878,117,1
12021503118,116,3
12024118103,127,0
12024962351,116,4
12041966253,117,2
12041982317,118,1
12041993005,117,3
12044627127,128,0
12045477231,117,4
12054939033,118,2
12054957466,119,1
12054958362,118,3
12058140435,129,0
12058482301,118,4
12067775074,119,2
12067795554,120,1
12067801539,119,3
12071292805,119,4
12071579373,130,0
12080475815,120,2
12080496839,121,1
12080501191,120,3
12083156754,131,0
12083967913,120,4
12093337296,121,2
12093358609,122,1
12093365041,121,3
12095968058,132,0
12096804049,121,4
12106062806,122,2
12106084150,123,1
12106087190,122,3
12108719200,133,0
12109490998,122,4
12118911103,123,2
12118929503,124,1
12118932511,123,3
12121520328,134,0
12122379840,123,4
12131916044,124,2
12131937357,125,1
12131942413,124,3
12135361709,124,4
12135649429,135,0
12144890137,125,2
12144914873,126,1
12144922777,125,3
12147546947,136,0
12148448892,125,4
12157773442,126,2
12157792867,127,1
12157796995,126,3
12160423181,137,0
12161232516,126,4
12170673229,127,2
12170691949,128,1
12170697038,127,3
12173296599,138,0
12174104429,127,4
12183432179,128,2
12183453172,129,1
12183457972,128,3
12186076606,139,0
12191060234,128,4
12196389887,129,2
12196411680,130,1
12196422336,129,3
12199041002,140,0
12200163050,129,4
12209334571,130,2
12209356620,131,1
12209359500,130,3
12211964149,141,0
12212701386,130,4
12222270007,131,2
12222286903,132,1
12222290167,131,3
12224940770,142,0
12228503238,131,4
12235055582,132,2
12235073630,133,1
12235078591,132,3
12237674535,143,0
12240529528,132,4
12248050187,133,2
12248069420,134,1
12248074988,133,3
12249509268,144,0
12253507076,133,4
12260897588,134,2
12260917172,135,1
12260924789,134,3
12262420223,145,0
12266389486,134,4
12273786750,135,2
12273809407,136,1
12273815359,135,3
12276408968,146,0
12279148693,135,4
12286741930,136,2
12286761515,137,1
12286767243,136,3
12289345491,147,0
12293737647,136,4
12299823834,137,2
12299845466,138,1
12299855035,137,3
12302445571,148,0
12306928801,137,4
12312601569,138,2
12312621441,139,1
12312625185,138,3
12314047913,149,0
12319236827,138,4
12325353863,139,2
12325376168,140,1
12325380424,139,3
12327980017,150,0
12332401325,139,4
12338093037,140,2
12338113005,141,1
