time_ns,frame,event
14764852316,1,0
14764863772,1,1
14796391316,2,0
14828317815,3,0
14829674910,1,2
14829686111,2,1
14829700831,1,3
14838235576,1,4
14850807975,2,2
14850821095,3,1
14850828999,2,3
14854727417,2,4
14863890500,4,0
14871559140,3,2
14871572356,4,1
14871579076,3,3
14875411284,3,4
14892467206,4,2
14892489190,4,3
14895870281,5,0
14895882121,5,1
14896347127,4,4
14916676456,5,2
14916697736,5,3
14920533592,5,4
14927865966,6,0
14927884206,6,1
14948858098,6,2
14948877267,6,3
14952727747,6,4
14963865160,7,0
14963880136,7,1
14984630213,7,2
14984650246,7,3
14988467797,7,4
14995881262,8,0
14995896142,8,1
15016820144,8,2
15016846033,8,3
15020654336,8,4
15027875859,9,0
15027889939,9,1
15048693618,9,2
15048716754,9,3
15052535138,9,4
15063866892,10,0
15063881485,10,1
15084791182,10,2
15084813551,10,3
15088638399,10,4
15095874898,11,0
15095889010,11,1
15116821876,11,2
15116843765,11,3
15120655012,11,4
15127868055,12,0
15127882167,12,1
15148894140,12,2
15148916828,12,3
15152732076,12,4
15163871729,13,0
15163886097,13,1
15184532043,13,2
15184552588,13,3
15188382299,13,4
15195953816,14,0
15195968217,14,1
15216634899,14,2
15216655988,14,3
15220479299,14,4
15231862575,15,0
15231876016,15,1
15252611885,15,2
15252636301,15,3
15256443868,15,4
15263916150,16,0
15263930583,16,1
15284525615,16,2
15284549424,16,3
15288360319,16,4
15295896667,17,0
15295910171,17,1
15316572342,17,2
15316596247,17,3
15320420966,17,4
15331878516,18,0
15331893333,18,1
15352699795,18,2
15352722036,18,3
15356554212,18,4
15363884538,19,0
15363899322,19,1
15384587029,19,2
15384620630,19,3
15388425189,19,4
15395911680,20,0
15395925408,20,1
15416633884,20,2
15416657437,20,3
15420471916,20,4
15431894585,21,0
15431909305,21,1
15452731161,21,2
15452754489,21,3
15456595177,21,4
15463848893,22,0
15463863901,22,1
15484583450,22,2
15484604186,22,3
15488424266,22,4
15495875171,23,0
15495888419,23,1
15516483900,23,2
15516506492,23,3
15520318956,23,4
15531884829,24,0
15531900509,24,1
15552507382,24,2
15552528855,24,3
15556344262,24,4
15563878882,25,0
15563892386,25,1
15584615359,25,2
15584636415,25,3
15588585939,25,4
15595894696,26,0
15595908392,26,1
15616802441,26,2
15616821834,26,3
15620633209,26,4
15631880417,27,0
15631895522,27,1
15652615806,27,2
15652639583,27,3
15656467822,27,4
15663884614,28,0
15663900263,28,1
15684496288,28,2
15684519968,28,3
15688323439,28,4
15695888140,29,0
15695903596,29,1
15716625577,29,2
15716648265,29,3
15720476889,29,4
15731986953,30,0
15732000521,30,1
15752786567,30,2
15752816456,30,3
15756672024,30,4
15763913068,31,0
15763926828,31,1
15784666121,31,2
15784690218,31,3
15788532122,31,4
15795903729,32,0
15795918129,32,1
15816727344,32,2
15816751505,32,3
15820594049,32,4
15831904714,33,0
15831919819,33,1
15852707977,33,2
15852731178,33,3
15856572282,33,4
15863899823,34,0
15863914032,34,1
15884713806,34,2
15884737039,34,3
15888574175,34,4
15895892148,35,0
15895906421,35,1
15916648594,35,2
15916671954,35,3
15920508130,35,4
15931929583,36,0
15931944272,36,1
15952944372,36,2
15952968501,36,3
15956829446,36,4
15963917780,37,0
15963931893,37,1
15984630256,37,2
15984651441,37,3
15988482241,37,4
15995899481,38,0
15995913273,38,1
16016700920,38,2
16016723928,38,3
16020583241,38,4
16031900051,39,0
16031919731,39,1
16052745843,39,2
16052770291,39,3
16056609539,39,4
16063899288,40,0
