Jul 12 21:55:34 jetson-orin-nano cuda_detect[1350962]: cuda_detect started using live webcam - 200 frames
Jul 12 21:55:34 jetson-orin-nano cuda_detect[1350962]: Using CUDA device: Orin
Jul 12 21:55:35 jetson-orin-nano cuda_detect[1350962]: detection time = 95.9121ms
Jul 12 21:55:35 jetson-orin-nano cuda_detect[1350962]: detection time = 62.4922ms
Jul 12 21:55:35 jetson-orin-nano cuda_detect[1350962]: detection time = 31.1115ms
Jul 12 21:55:35 jetson-orin-nano cuda_detect[1350962]: detection time = 43.4554ms
Jul 12 21:55:35 jetson-orin-nano cuda_detect[1350962]: detection time = 56.394ms
Jul 12 21:55:35 jetson-orin-nano cuda_detect[1350962]: detection time = 31.0819ms
Jul 12 21:55:35 jetson-orin-nano cuda_detect[1350962]: detection time = 47.0397ms
Jul 12 21:55:35 jetson-orin-nano cuda_detect[1350962]: detection time = 71.6299ms
Jul 12 21:55:35 jetson-orin-nano cuda_detect[1350962]: detection time = 66.8337ms
Jul 12 21:55:35 jetson-orin-nano cuda_detect[1350962]: detection time = 30.8795ms
Jul 12 21:55:36 jetson-orin-nano cuda_detect[1350962]: detection time = 42.6619ms
Jul 12 21:55:36 jetson-orin-nano cuda_detect[1350962]: detection time = 47.286ms
Jul 12 21:55:36 jetson-orin-nano cuda_detect[1350962]: detection time = 45.9985ms
Jul 12 21:55:36 jetson-orin-nano cuda_detect[1350962]: detection time = 48.2928ms
Jul 12 21:55:36 jetson-orin-nano cuda_detect[1350962]: detection time = 48.0773ms
Jul 12 21:55:36 jetson-orin-nano cuda_detect[1350962]: detection time = 47.4427ms
Jul 12 21:55:36 jetson-orin-nano cuda_detect[1350962]: detection time = 47.8058ms
Jul 12 21:55:36 jetson-orin-nano cuda_detect[1350962]: detection time = 47.6667ms
Jul 12 21:55:36 jetson-orin-nano cuda_detect[1350962]: detection time = 47.8715ms
Jul 12 21:55:36 jetson-orin-nano cuda_detect[1350962]: detection time = 47.6586ms
Jul 12 21:55:36 jetson-orin-nano cuda_detect[1350962]: detection time = 47.23ms
Jul 12 21:55:36 jetson-orin-nano cuda_detect[1350962]: detection time = 47.6432ms
Jul 12 21:55:36 jetson-orin-nano cuda_detect[1350962]: detection time = 47.7299ms
Jul 12 21:55:36 jetson-orin-nano cuda_detect[1350962]: detection time = 46.8495ms
Jul 12 21:55:36 jetson-orin-nano cuda_detect[1350962]: detection time = 42.6031ms
Jul 12 21:55:37 jetson-orin-nano cuda_detect[1350962]: detection time = 28.3645ms
Jul 12 21:55:37 jetson-orin-nano cuda_detect[1350962]: detection time = 41.1669ms
Jul 12 21:55:37 jetson-orin-nano cuda_detect[1350962]: detection time = 45.9002ms
Jul 12 21:55:37 jetson-orin-nano cuda_detect[1350962]: detection time = 46.2964ms
Jul 12 21:55:37 jetson-orin-nano cuda_detect[1350962]: detection time = 46.0295ms
Jul 12 21:55:37 jetson-orin-nano cuda_detect[1350962]: detection time = 45.102ms
Jul 12 21:55:37 jetson-orin-nano cuda_detect[1350962]: detection time = 45.5ms
Jul 12 21:55:37 jetson-orin-nano cuda_detect[1350962]: detection time = 45.7155ms
Jul 12 21:55:37 jetson-orin-nano cuda_detect[1350962]: detection time = 45.9221ms
Jul 12 21:55:37 jetson-orin-nano cuda_detect[1350962]: detection time = 44.2805ms
Jul 12 21:55:37 jetson-orin-nano cuda_detect[1350962]: detection time = 45.6665ms
Jul 12 21:55:37 jetson-orin-nano cuda_detect[1350962]: detection time = 46.7334ms
Jul 12 21:55:37 jetson-orin-nano cuda_detect[1350962]: detection time = 47.5476ms
Jul 12 21:55:37 jetson-orin-nano cuda_detect[1350962]: detection time = 47.9144ms
Jul 12 21:55:37 jetson-orin-nano cuda_detect[1350962]: detection time = 47.9543ms
Jul 12 21:55:38 jetson-orin-nano cuda_detect[1350962]: detection time = 48.0888ms
Jul 12 21:55:38 jetson-orin-nano cuda_detect[1350962]: detection time = 47.8141ms
Jul 12 21:55:38 jetson-orin-nano cuda_detect[1350962]: detection time = 42.6762ms
Jul 12 21:55:38 jetson-orin-nano cuda_detect[1350962]: detection time = 27.5671ms
Jul 12 21:55:38 jetson-orin-nano cuda_detect[1350962]: detection time = 38.4175ms
Jul 12 21:55:38 jetson-orin-nano cuda_detect[1350962]: detection time = 45.2475ms
Jul 12 21:55:38 jetson-orin-nano cuda_detect[1350962]: detection time = 41.2546ms
Jul 12 21:55:38 jetson-orin-nano cuda_detect[1350962]: detection time = 26.3319ms
Jul 12 21:55:38 jetson-orin-nano cuda_detect[1350962]: detection time = 39.7152ms
Jul 12 21:55:38 jetson-orin-nano cuda_detect[1350962]: detection time = 44.7781ms
Jul 12 21:55:38 jetson-orin-nano cuda_detect[1350962]: detection time = 45.7619ms
Jul 12 21:55:38 jetson-orin-nano cuda_detect[1350962]: detection time = 46.699ms
Jul 12 21:55:38 jetson-orin-nano cuda_detect[1350962]: detection time = 47.7355ms
Jul 12 21:55:38 jetson-orin-nano cuda_detect[1350962]: detection time = 47.4516ms
Jul 12 21:55:38 jetson-orin-nano cuda_detect[1350962]: detection time = 47.8652ms
Jul 12 21:55:39 jetson-orin-nano cuda_detect[1350962]: detection time = 47.4773ms
Jul 12 21:55:39 jetson-orin-nano cuda_detect[1350962]: detection time = 47.6775ms
Jul 12 21:55:39 jetson-orin-nano cuda_detect[1350962]: detection time = 47.4288ms
Jul 12 21:55:39 jetson-orin-nano cuda_detect[1350962]: detection time = 47.1953ms
Jul 12 21:55:39 jetson-orin-nano cuda_detect[1350962]: detection time = 47.8829ms
Jul 12 21:55:39 jetson-orin-nano cuda_detect[1350962]: detection time = 47.7266ms
Jul 12 21:55:39 jetson-orin-nano cuda_detect[1350962]: detection time = 48.1574ms
Jul 12 21:55:39 jetson-orin-nano cuda_detect[1350962]: detection time = 48.083ms
Jul 12 21:55:39 jetson-orin-nano cuda_detect[1350962]: detection time = 48.0185ms
Jul 12 21:55:39 jetson-orin-nano cuda_detect[1350962]: detection time = 47.8432ms
Jul 12 21:55:39 jetson-orin-nano cuda_detect[1350962]: detection time = 47.9418ms
Jul 12 21:55:39 jetson-orin-nano cuda_detect[1350962]: detection time = 47.508ms
Jul 12 21:55:39 jetson-orin-nano cuda_detect[1350962]: detection time = 47.1815ms
Jul 12 21:55:39 jetson-orin-nano cuda_detect[1350962]: detection time = 46.7603ms
Jul 12 21:55:39 jetson-orin-nano cuda_detect[1350962]: detection time = 47.0257ms
Jul 12 21:55:40 jetson-orin-nano cuda_detect[1350962]: detection time = 47.0113ms
Jul 12 21:55:40 jetson-orin-nano cuda_detect[1350962]: detection time = 46.3725ms
Jul 12 21:55:40 jetson-orin-nano cuda_detect[1350962]: detection time = 46.4926ms
Jul 12 21:55:40 jetson-orin-nano cuda_detect[1350962]: detection time = 48.3518ms
Jul 12 21:55:40 jetson-orin-nano cuda_detect[1350962]: detection time = 42.7622ms
Jul 12 21:55:40 jetson-orin-nano cuda_detect[1350962]: detection time = 42.2709ms
Jul 12 21:55:40 jetson-orin-nano cuda_detect[1350962]: detection time = 42.641ms
Jul 12 21:55:40 jetson-orin-nano cuda_detect[1350962]: detection time = 42.5316ms
Jul 12 21:55:40 jetson-orin-nano cuda_detect[1350962]: detection time = 43.1657ms
Jul 12 21:55:40 jetson-orin-nano cuda_detect[1350962]: detection time = 52.969ms
Jul 12 21:55:40 jetson-orin-nano cuda_detect[1350962]: detection time = 42.9043ms
Jul 12 21:55:40 jetson-orin-nano cuda_detect[1350962]: detection time = 42.8583ms
Jul 12 21:55:40 jetson-orin-nano cuda_detect[1350962]: detection time = 42.5586ms
Jul 12 21:55:40 jetson-orin-nano cuda_detect[1350962]: detection time = 42.9874ms
Jul 12 21:55:40 jetson-orin-nano cuda_detect[1350962]: detection time = 42.8872ms
Jul 12 21:55:41 jetson-orin-nano cuda_detect[1350962]: detection time = 44.1195ms
Jul 12 21:55:41 jetson-orin-nano cuda_detect[1350962]: detection time = 44.7988ms
Jul 12 21:55:41 jetson-orin-nano cuda_detect[1350962]: detection time = 43.7833ms
Jul 12 21:55:41 jetson-orin-nano cuda_detect[1350962]: detection time = 42.9032ms
Jul 12 21:55:41 jetson-orin-nano cuda_detect[1350962]: detection time = 43.9755ms
Jul 12 21:55:41 jetson-orin-nano cuda_detect[1350962]: detection time = 43.4629ms
Jul 12 21:55:41 jetson-orin-nano cuda_detect[1350962]: detection time = 42.7064ms
Jul 12 21:55:41 jetson-orin-nano cuda_detect[1350962]: detection time = 44.6544ms
Jul 12 21:55:41 jetson-orin-nano cuda_detect[1350962]: detection time = 44.9254ms
Jul 12 21:55:41 jetson-orin-nano cuda_detect[1350962]: detection time = 46.911ms
Jul 12 21:55:41 jetson-orin-nano cuda_detect[1350962]: detection time = 47.4051ms
Jul 12 21:55:41 jetson-orin-nano cuda_detect[1350962]: detection time = 47.5076ms
Jul 12 21:55:41 jetson-orin-nano cuda_detect[1350962]: detection time = 41.6426ms
Jul 12 21:55:41 jetson-orin-nano cuda_detect[1350962]: detection time = 26.5816ms
Jul 12 21:55:41 jetson-orin-nano cuda_detect[1350962]: detection time = 38.3783ms
Jul 12 21:55:42 jetson-orin-nano cuda_detect[1350962]: detection time = 44.1237ms
Jul 12 21:55:42 jetson-orin-nano cuda_detect[1350962]: detection time = 44.4083ms
Jul 12 21:55:42 jetson-orin-nano cuda_detect[1350962]: detection time = 44.6712ms
Jul 12 21:55:42 jetson-orin-nano cuda_detect[1350962]: detection time = 46.6196ms
Jul 12 21:55:42 jetson-orin-nano cuda_detect[1350962]: detection time = 46.3958ms
Jul 12 21:55:42 jetson-orin-nano cuda_detect[1350962]: detection time = 47.8348ms
Jul 12 21:55:42 jetson-orin-nano cuda_detect[1350962]: detection time = 46.9186ms
Jul 12 21:55:42 jetson-orin-nano cuda_detect[1350962]: detection time = 47.6427ms
Jul 12 21:55:42 jetson-orin-nano cuda_detect[1350962]: detection time = 47.6203ms
Jul 12 21:55:42 jetson-orin-nano cuda_detect[1350962]: detection time = 47.5894ms
Jul 12 21:55:42 jetson-orin-nano cuda_detect[1350962]: detection time = 49.1744ms
Jul 12 21:55:42 jetson-orin-nano cuda_detect[1350962]: detection time = 47.5234ms
Jul 12 21:55:42 jetson-orin-nano cuda_detect[1350962]: detection time = 47.6107ms
Jul 12 21:55:42 jetson-orin-nano cuda_detect[1350962]: detection time = 46.3509ms
Jul 12 21:55:42 jetson-orin-nano cuda_detect[1350962]: detection time = 46.53ms
Jul 12 21:55:43 jetson-orin-nano cuda_detect[1350962]: detection time = 46.8028ms
Jul 12 21:55:43 jetson-orin-nano cuda_detect[1350962]: detection time = 47.4442ms
Jul 12 21:55:43 jetson-orin-nano cuda_detect[1350962]: detection time = 46.1541ms
Jul 12 21:55:43 jetson-orin-nano cuda_detect[1350962]: detection time = 45.958ms
Jul 12 21:55:43 jetson-orin-nano cuda_detect[1350962]: detection time = 46.2115ms
Jul 12 21:55:43 jetson-orin-nano cuda_detect[1350962]: detection time = 46.634ms
Jul 12 21:55:43 jetson-orin-nano cuda_detect[1350962]: detection time = 47.3258ms
Jul 12 21:55:43 jetson-orin-nano cuda_detect[1350962]: detection time = 46.3398ms
Jul 12 21:55:43 jetson-orin-nano cuda_detect[1350962]: detection time = 46.2481ms
Jul 12 21:55:43 jetson-orin-nano cuda_detect[1350962]: detection time = 46.476ms
Jul 12 21:55:43 jetson-orin-nano cuda_detect[1350962]: detection time = 47.4645ms
Jul 12 21:55:43 jetson-orin-nano cuda_detect[1350962]: detection time = 47.6365ms
Jul 12 21:55:43 jetson-orin-nano cuda_detect[1350962]: detection time = 47.648ms
Jul 12 21:55:43 jetson-orin-nano cuda_detect[1350962]: detection time = 47.6406ms
Jul 12 21:55:43 jetson-orin-nano cuda_detect[1350962]: detection time = 46.8248ms
Jul 12 21:55:44 jetson-orin-nano cuda_detect[1350962]: detection time = 46.4342ms
Jul 12 21:55:44 jetson-orin-nano cuda_detect[1350962]: detection time = 46.6745ms
Jul 12 21:55:44 jetson-orin-nano cuda_detect[1350962]: detection time = 46.5071ms
Jul 12 21:55:44 jetson-orin-nano cuda_detect[1350962]: detection time = 47.1157ms
Jul 12 21:55:44 jetson-orin-nano cuda_detect[1350962]: detection time = 46.4735ms
Jul 12 21:55:44 jetson-orin-nano cuda_detect[1350962]: detection time = 45.8576ms
Jul 12 21:55:44 jetson-orin-nano cuda_detect[1350962]: detection time = 46.3523ms
Jul 12 21:55:44 jetson-orin-nano cuda_detect[1350962]: detection time = 46.9238ms
Jul 12 21:55:44 jetson-orin-nano cuda_detect[1350962]: detection time = 46.3899ms
Jul 12 21:55:44 jetson-orin-nano cuda_detect[1350962]: detection time = 41.4005ms
Jul 12 21:55:44 jetson-orin-nano cuda_detect[1350962]: detection time = 26.1255ms
Jul 12 21:55:44 jetson-orin-nano cuda_detect[1350962]: detection time = 38.4457ms
Jul 12 21:55:44 jetson-orin-nano cuda_detect[1350962]: detection time = 48.8811ms
Jul 12 21:55:44 jetson-orin-nano cuda_detect[1350962]: detection time = 42.9528ms
Jul 12 21:55:44 jetson-orin-nano cuda_detect[1350962]: detection time = 45.3666ms
Jul 12 21:55:45 jetson-orin-nano cuda_detect[1350962]: detection time = 45.1911ms
Jul 12 21:55:45 jetson-orin-nano cuda_detect[1350962]: detection time = 45.6014ms
Jul 12 21:55:45 jetson-orin-nano cuda_detect[1350962]: detection time = 48.4776ms
Jul 12 21:55:45 jetson-orin-nano cuda_detect[1350962]: detection time = 46.6011ms
Jul 12 21:55:45 jetson-orin-nano cuda_detect[1350962]: detection time = 46.4793ms
Jul 12 21:55:45 jetson-orin-nano cuda_detect[1350962]: detection time = 49.2872ms
Jul 12 21:55:45 jetson-orin-nano cuda_detect[1350962]: detection time = 47.3085ms
Jul 12 21:55:45 jetson-orin-nano cuda_detect[1350962]: detection time = 51.8017ms
Jul 12 21:55:45 jetson-orin-nano cuda_detect[1350962]: detection time = 46.9161ms
Jul 12 21:55:45 jetson-orin-nano cuda_detect[1350962]: detection time = 55.0441ms
